stage	command	start_utc	end_utc	exit_code	log_path
verification	jq . docs/audits/2026-02-12-prod-readiness/gate-tracker.json >/dev/null	2026-02-15T18:31:57Z	2026-02-15T18:31:57Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T183157Z_gate_tracker_jq_validate.log
verification	jq -r ".gates[] | [.id,.status,.status_reason] | @tsv" docs/audits/2026-02-12-prod-readiness/gate-tracker.json	2026-02-15T18:31:57Z	2026-02-15T18:31:57Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T183157Z_gate_status_snapshot.log
verification	jq -r ".signals[] | select(.id|startswith(\"G5-\") or startswith(\"G7-\")) | [.id,.status,.owner] | @tsv" docs/audits/2026-02-12-prod-readiness/gate-tracker.json	2026-02-15T18:31:57Z	2026-02-15T18:31:57Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T183157Z_g5_g7_signal_snapshot.log
verification	test -f release_evidence/2026-02-12-prod-readiness/gate-5/perf/g5-001-soak-load-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/g5-002-retention-cost-control-policy.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/security/g5-003-pen-test-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/security/g5-004-secrets-rotation-policy-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/rollback/g5-005-rollback-drill-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/signoff/g5-006-release-notes-signoff-pack.md && test -f release_evidence/2026-02-12-prod-readiness/final-go/g7-001-canary-progression-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/final-go/g7-002-production-integration-validation-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/final-go/g7-003-messaging-update-gate.md && test -f release_evidence/2026-02-12-prod-readiness/final-go/g7-004-final-readiness-report-handoff.md	2026-02-15T18:31:57Z	2026-02-15T18:31:57Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T183157Z_new_artifact_presence.log
verification	git status --short	2026-02-15T18:31:57Z	2026-02-15T18:31:57Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T183157Z_changed_files_snapshot.log
verification	jq . docs/audits/2026-02-12-prod-readiness/gate-tracker.json >/dev/null	2026-02-15T19:35:13Z	2026-02-15T19:35:13Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T193513Z_gate_tracker_jq_validate_refresh.log
verification	jq -r ".gates[] | [.id,.status,.status_reason] | @tsv" docs/audits/2026-02-12-prod-readiness/gate-tracker.json	2026-02-15T19:35:13Z	2026-02-15T19:35:13Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T193513Z_gate_status_snapshot_refresh.log
verification	jq -r ".signals[] | select(.id|startswith(\"G5-\") or startswith(\"G7-\")) | [.id,.status,.owner] | @tsv" docs/audits/2026-02-12-prod-readiness/gate-tracker.json	2026-02-15T19:35:13Z	2026-02-15T19:35:13Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T193513Z_g5_g7_signal_snapshot_refresh.log
verification	if rg -n "credentials_json|secrets\.GCP_SA_KEY_API" .github/workflows/ci.yml; then echo "unexpected-static-key-reference"; exit 1; else echo "ci-static-key-reference-absent"; fi	2026-02-15T19:35:13Z	2026-02-15T19:35:13Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T193513Z_ci_static_key_absence_verify.log
verification	test -f release_evidence/2026-02-12-prod-readiness/gate-5/perf/g5-001-soak-load-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/g5-002-retention-cost-control-policy.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/security/g5-003-pen-test-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/security/g5-004-secrets-rotation-policy-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/rollback/g5-005-rollback-drill-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/gate-5/signoff/g5-006-release-notes-signoff-pack.md && test -f release_evidence/2026-02-12-prod-readiness/final-go/g7-001-canary-progression-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/final-go/g7-002-production-integration-validation-evidence.md && test -f release_evidence/2026-02-12-prod-readiness/final-go/g7-003-messaging-update-gate.md && test -f release_evidence/2026-02-12-prod-readiness/final-go/g7-004-final-readiness-report-handoff.md	2026-02-15T19:35:13Z	2026-02-15T19:35:13Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T193513Z_artifact_presence_refresh.log
verification	if rg -n -g"*.log" -e "[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\\.[A-Za-z]{2,}" release_evidence/2026-02-12-prod-readiness/gate-5 release_evidence/2026-02-12-prod-readiness/final-go; then echo "email-pattern-found"; exit 1; else echo "email-pattern-clean"; fi	2026-02-15T19:35:13Z	2026-02-15T19:35:13Z	0	release_evidence/2026-02-12-prod-readiness/final-go/command-logs/20260215T193513Z_log_redaction_email_scan.log
